team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
University of Lynchburg,10016800,VA,Division 3,3,ODAC,odac
University of Maine,169,ME,Division 1,1,America East,americaeast
University of Manitoba,10003230,MB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Mary,10007748,ND,Division 2,2,Northern Sun,nsic
University of Mary Washington,144,VA,Division 3,3,Metro,metro
University of Maryland,39,MD,NONE,NONE,NONE,NONE
University of Massachusetts (Amherst),421,MA,Division 1,1,Atlantic 10,a-10
University of Massachusetts (Dartmouth),422,MA,Division 3,3,Little East,little-east
University of Massacusetts-Lowell,10002660,MA,NONE,NONE,NONE,NONE
University of Miami (Florida),425,FL,Division 1,1,ACC,acc
University of Michigan,89,MI,Division 1,1,Big Ten,big10
University of Minnesota,31,MN,Division 1,1,Big Ten,big10
University of Minnesota-Morris,617,MN,Division 3,3,Liberal Arts,libarts
University of Missouri,431,MO,Division 1,1,SEC,sec
University of Missouri-St. Louis,10002661,MO,Division 2,2,GLVC,glvc
University of Montana,10002662,MT,NONE,NONE,NONE,NONE
University of Montevallo,10015135,AL,Division 2,2,New South,nsisc
University of Mount Union,70,OH,Division 3,3,Ohio,oac
University of Nebraska at Kearney,438,NE,Division 2,2,Northern Sun,nsic
"University of Nebraska, Lincoln",439,NE,Division 1,1,Big Ten,big10
"University of Nebraska, Omaha",97,NE,Division 1,1,Summit,summit
University of Nevada,441,NV,Division 1,1,Mountain West,mwc
"University of Nevada, Las Vegas (UNLV)",440,NV,Division 1,1,Mountain West,mwc
University of New Brunswick,10003231,NB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of New England,8461,ME,Division 3,3,NEISDA,neisda
University of New Hampshire,285,NH,Division 1,1,America East,americaeast
University of New Mexico,445,NM,Division 1,1,Mountain West,mwc
University of New Orleans,360,LA,NONE,NONE,NONE,NONE
University of North Carolina Asheville,10001792,NC,Division 1,1,CCSA,ccsa
"University of North Carolina, Chapel Hill",60,NC,Division 1,1,ACC,acc
"University of North Carolina, Wilmington",395,NC,Division 1,1,Colonial,caa
University of North Dakota,106,ND,Division 1,1,NONE,NONE
University of North Florida,521,FL,Division 1,1,CCSA,ccsa
University of North Texas,397,TX,Division 1,1,C-USA,c-usa
University of Northern Colorado,399,CO,Division 1,1,WAC,wac
University of Northern Iowa,400,IA,Division 1,1,Missouri Valley,mvc
University of Notre Dame,53,IN,Division 1,1,ACC,acc
University of Oklahoma,10002669,OK,NONE,NONE,NONE,NONE
University of Oregon,10002670,OR,NONE,NONE,NONE,NONE
University of Ottawa,10003232,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Pennsylvania,416,PA,Division 1,1,Ivy,ivy
University of Pittsburgh,405,PA,Division 1,1,ACC,acc
University of Pittsburgh-Bradford,537,PA,Division 3,3,Allegheny,amcc
University of Prince Edward Island,10003233,PQ,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Puerto Rico,342,PR,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Puerto Rico-Mayaguez,341,PR,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Puget Sound,91,WA,Division 3,3,Northwest,nwc
University of Redlands,3,CA,Division 3,3,SCIAC,sciac
University of Regina,10010808,SK,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Rhode Island,482,RI,Division 1,1,Atlantic 10,a-10
University of Richmond,37,VA,Division 1,1,Atlantic 10,a-10
University of Rio Grande,10025360,OH,NAIA,4,Mid-South,mid-south
University of Rochester,6,NY,Division 3,3,UAA,uaa
University of Saint Mary,10018098,KS,NAIA,4,KCAC,kcac
University of Saint Thomas,469,MN,Division 1,1,Summit,summit
University of San Diego,497,CA,Division 1,1,MPSF,mpsf
University of Scranton,500,PA,Division 3,3,Landmark,landmark
University of Sioux Falls,10007689,SD,Division 2,2,Northern Sun,nsic
University of South Carolina,95,SC,Division 1,1,SEC,sec
University of South Dakota,83,SD,Division 1,1,Summit,summit
University of South Florida,10007652,FL,NONE,NONE,NONE,NONE
University of Southern California,102,CA,Division 1,1,Pac 12,pac-12
University of Tampa,104,FL,Division 2,2,Sunshine,ssc
University of Tennessee,44,TN,Division 1,1,SEC,sec
University of Texas,105,TX,Division 1,1,Big 12,big12
University of Texas El-Paso,10009624,TX,NONE,NONE,NONE,NONE
University of Texas-Arlington,10002682,TX,NONE,NONE,NONE,NONE
University of the District of olumbia,10003069,DC,Division 2,2,NONE,NONE
University of the Ozarks,10008710,AR,Division 3,3,SCAC,scac
University of the Pacific,413,CA,Division 1,1,MPSF,mpsf
University of the South (Sewanee),344,TN,Division 3,3,SAA,saa
University of Toledo,319,OH,Division 1,1,Mid-American,mac
University of Toronto,8469,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Utah,330,UT,Division 1,1,Pac 12,pac-12
University of Vermont,334,VT,Division 1,1,America East,americaeast
University of Victoria,10003236,BC,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Virginia,73,VA,Division 1,1,ACC,acc
University of Washington,288,WA,NONE,NONE,NONE,NONE
University of Waterloo,10000423,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of West Florida,10002824,FL,Division 2,2,New South,nsisc
University of Western Ontario,10003238,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Wisconsin-Eau Claire,367,WI,Division 3,3,WIAC,wiac
University of Wisconsin-Green Bay,368,WI,Division 1,1,Horizon,horizon
University of Wisconsin-La Crosse,113,WI,Division 3,3,WIAC,wiac
University of Wisconsin-Madison,98,WI,Division 1,1,Big Ten,big10
University of Wisconsin-Milwaukee,369,WI,Division 1,1,Horizon,horizon
University of Wisconsin-Oshkosh,54,WI,Division 3,3,WIAC,wiac
University of Wisconsin-Parkside,10009626,WI,NONE,NONE,NONE,NONE
University of Wisconsin-River Falls,370,WI,WIAC,wiac,NONE,NONE
University of Wisconsin-Stevens Point,29,WI,Division 3,3,WIAC,wiac
University of Wisconsin-Whitewater,371,WI,Division 3,3,WIAC,wiac
University of Wisconsin–Stout,10009627,WI,NONE,NONE,NONE,NONE
University of Wyoming,374,WY,Division 1,1,Mountain West,mwc
Urbana University,616,OH,Division 2,2,Mountain East,mountain-east
Ursinus College,329,PA,Division 3,3,Centennial,centennial
Ursuline College,653,OH,Division 2,2,GMAC,GMAC
Utica College,331,NY,Division 3,3,Empire 8,empire8
Valparaiso University,332,IN,Division 1,1,Missouri Valley,mvc
Vanderbilt University,532,TN,Division 1,1,SEC,sec
Vanguard University,8468,CA,NONE,NONE,NONE,NONE
Vassar College,333,NY,Division 3,3,Liberty,liberty
Ventura College,551,CA,CCCAA,6,NONE,NONE
Villa Maria College,10009372,NY,Independent,independen,NONE,NONE
Villanova University,32,PA,Division 1,1,Big East,bigeast
Vincennes University,527,IN,NONE,NONE,NONE,NONE
Virgin Islands,558,VI,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Virginia Commonwealth University,10002683,VA,NONE,NONE,NONE,NONE
Virginia Military Institute,335,VA,Division 1,1,America East,americaeast
Virginia Tech,336,VA,Division 1,1,ACC,acc
Virginia Wesleyan University,10010227,VA,Division 3,3,ODAC,odac
Wabash College,298,IN,Division 3,3,North Coast,ncac
Wagner College,296,NY,Division 1,1,Northeast,nec
Wake Forest University,10009182,NC,NONE,NONE,NONE,NONE
Warren Wilson College,8463,NC,Independent,independen,Sun Coast,SCC
Washington & Jefferson College,323,PA,Division 3,3,Presidents,presidents
Washington and Lee University,286,VA,Division 3,3,ODAC,odac
Washington College (Maryland),38,MD,Division 3,3,Centennial,centennial
Washington State University,287,WA,Division 1,1,Pac 12,pac-12
Washington University (Missouri),94,MO,Division 3,3,UAA,uaa
Wayland Baptist University,10003582,TX,NONE,NONE,NONE,NONE
Wayne State College (NE),10002684,NE,NONE,NONE,NONE,NONE
Wayne State University,289,MI,Division 2,2,GLIAC,gliac
Webster University,290,MO,NONE,NONE,NONE,NONE
Wellesley College,291,MA,Division 3,3,NEWMAC,newmac
Wells College,292,NY,Division 3,3,NEAC,neac
Wesleyan University,293,CT,Division 3,3,NESCAC,nescac
West Chester University,109,PA,Division 2,2,PSAC,psac
West Valley College,605,CA,CCCAA,6,NONE,NONE
West Virginia Institute of Technology,10000784,WV,NAIA,4,Appalachian Athletic,App
West Virginia University,294,WV,Division 1,1,Big 12,big12
West Virginia Wesleyan College,295,WV,Division 2,2,Mountain East,mountain-east
Westcliff University,10026173,CA,NAIA,4,PCSC,paccoast
Western Colorado University,10001999,CO,Division 2,2,Rocky Mountain,rmac
Western Connecticut State University,310,CT,Division 3,3,Little East,little-east
Western Illinois University,297,IL,Division 1,1,Summit,summit
Western Kentucky University,284,KY,NONE,NONE,NONE,NONE
Western Michigan University,10009628,MI,NONE,NONE,NONE,NONE
Western New England University,300,MA,Division 3,3,Little East,little-east
Western University (Canada),10003570,AB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Westfield State University,301,MA,Division 3,3,Little East,little-east
Westminster College,302,PA,Division 3,3,Presidents,presidents
Westmont College,10016869,CA,NAIA,4,PCSC,paccoast
Wheaton College (Illinois),78,IL,Division 3,3,CCIW,cciw
Wheaton College (Massachusetts),303,MA,Division 3,3,NEWMAC,newmac
Wheeling University,304,WV,Division 2,2,Mountain East,mountain-east
Wheelock College,10009274,MA,NONE,NONE,NONE,NONE
Whitman College,306,WA,Division 3,3,Northwest,nwc
Whittier College,307,CA,Division 3,3,SCIAC,sciac
Whitworth University,40,WA,Division 3,3,Northwest,nwc
Widener University,308,PA,Division 3,3,ECAC,ecac
Wilfred Laurier University,10003239,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Wilkes University,10005836,PA,Division 3,3,Middle Atlantic,mid-atlantic
Willamette University,309,OR,Division 3,3,Northwest,nwc
William & Mary,350,VA,Division 1,1,Colonial,caa
William Jewell College,10000408,MO,Division 2,2,GLVC,glvc
William Paterson University of New Jersey,391,NJ,Division 3,3,Metro,metro
William Peace University,10010314,NC,Division 3,3,Independent,independen
William Woods University,10009629,MO,NONE,NONE,NONE,NONE
Williams Baptist University,10010508,AR,NAIA,4,NONE,NONE
Williams College,119,MA,Division 3,3,NESCAC,nescac
Wilmington College (Ohio),325,OH,Division 3,3,Ohio,oac
Wingate University,46,NC,Division 2,2,Bluegrass,bluegrass
Winona State University,10009630,MN,NONE,NONE,NONE,NONE
Wittenberg University,9,OH,Division 3,3,North Coast,ncac
Worcester Polytechnic Institute,372,MA,Division 3,3,NEWMAC,newmac
Wright State University,373,OH,Division 1,1,NONE,NONE
Xavier University,375,OH,Division 1,1,Big East,bigeast
Yale University,376,CT,Division 1,1,Ivy,ivy
York College (NY),448,NY,Division 3,3,CUNYAC,cunyac
York College (Pennsylvania),392,PA,Division 3,3,Middle Atlantic,mid-atlantic
York University (CAN),10003240,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Youngstown State University,378,OH,Division 1,1,Horizon,horizon
